,Name,Price in rs,Role,TeamName
132,David Warner,"5,50,00,000",Batsman, Sunrisers Hyderabad
133,Amit Mishra,"4,75,00,000",Bowler, Sunrisers Hyderabad
134,Bhuvneshwar Kumar,"4,25,00,000",Bowler, Sunrisers Hyderabad
135,Aaron Finch,"4,00,00,000",Batsman, Sunrisers Hyderabad
136,Karn Sharma,"3,75,00,000",Bowler, Sunrisers Hyderabad
137,Darren Sammy,"3,50,00,000",All-Rounder, Sunrisers Hyderabad
138,Ishant Sharma,"2,60,00,000",Bowler, Sunrisers Hyderabad
139,Irfan Pathan,"2,40,00,000",All-Rounder, Sunrisers Hyderabad
140,Moises Henriques,"1,00,00,000",All-Rounder, Sunrisers Hyderabad
141,KL Rahul,"1,00,00,000",Batsman, Sunrisers Hyderabad
142,Parveez Rasool,"95,00,000",All-Rounder, Sunrisers Hyderabad
143,Jason Holder,"75,00,000",Bowler, Sunrisers Hyderabad
144,Venugopal Rao,"55,00,000",Batsman, Sunrisers Hyderabad
145,Naman Ojha,"50,00,000",Wicket Keeper, Sunrisers Hyderabad
146,Brendan Taylor,"30,00,000",Wicket Keeper, Sunrisers Hyderabad
147,Prasanth Parameswaran,"30,00,000",Bowler, Sunrisers Hyderabad
148,Amit Paunikar,"20,00,000",Wicket Keeper, Sunrisers Hyderabad
149,Ashish Reddy,"20,00,000",Bowler, Sunrisers Hyderabad
150,Srikkanth Anirudha,"20,00,000",Batsman, Sunrisers Hyderabad
151,Ricky Bhui,"10,00,000",Batsman, Sunrisers Hyderabad
152,Chama Milind,"10,00,000",Bowler, Sunrisers Hyderabad
153,Manprit Juneja,"10,00,000",Batsman, Sunrisers Hyderabad
